smiles,Chi0,Chi1,mChi1,Chi2,Chi3,Chi4,Chi5,Chi6,Chi7,Chi8,Chi9,Chi10,Chi3c,Chi4c,Chi4pc,Chi3ch,Chi4ch,Chi5ch,Chi6ch,knotp,Chiv0,Chiv1,Chiv2,Chiv3,Chiv4,Chiv5,Chiv6,Chiv7,Chiv8,Chiv9,Chiv10,dchi0,dchi1,dchi2,dchi3,dchi4,Chiv3c,Chiv4c,Chiv4pc,Chiv3ch,Chiv4ch,Chiv5ch,Chiv6ch,knotpv
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3)cnc2c(=O)[nH]1,24.06,14.585,0.429,16.282,10.644,10.09,6.287,5.291,3.51,2.575,1.772,1.131,5.595,0.854,6.635,0.0,0.0,0.175,0.056,1.04,17.987,12.628,10.628,7.682,5.727,3.262,2.258,1.191,0.784,0.514,0.322,6.073,1.956,5.654,2.961,4.363,1.827,0.126,3.075,0.0,0.0,0.074,0.014,1.248
CC1=CN(C(=O)NC1=O)C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3,23.069,13.512,0.436,15.226,9.621,8.486,5.236,4.032,2.46,1.643,1.09,0.66,5.506,0.854,6.487,0.0,0.0,0.079,0.056,0.981,17.424,12.153,10.332,7.378,5.373,3.078,2.084,1.071,0.691,0.457,0.286,5.645,1.359,4.895,2.243,3.113,1.846,0.126,3.052,0.0,0.0,0.045,0.016,1.205
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OC)3)c(=O)n1,22.905,13.64,0.44,14.932,9.221,8.809,5.127,4.228,2.47,1.786,1.19,0.689,5.267,0.854,5.677,0.0,0.0,0.079,0.068,0.411,17.578,12.154,10.105,7.331,5.455,3.104,2.125,1.087,0.733,0.478,0.3,5.327,1.485,4.827,1.89,3.354,1.713,0.126,2.883,0.0,0.0,0.045,0.017,1.17
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OC)3)cnc2c(=O)[nH]1,24.767,15.123,0.432,16.495,10.836,10.573,6.578,5.57,3.707,2.813,1.928,1.215,5.539,0.854,6.514,0.0,0.0,0.175,0.056,0.975,18.948,13.014,10.838,7.93,5.965,3.435,2.375,1.279,0.865,0.56,0.356,5.819,2.109,5.657,2.906,4.608,1.819,0.126,3.134,0.0,0.0,0.074,0.014,1.314
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OC)3)cnc12,23.897,14.729,0.433,15.849,10.584,10.171,6.317,5.231,3.598,2.693,1.814,1.178,5.25,0.854,6.229,0.0,0.0,0.175,0.068,0.978,18.564,12.826,10.646,7.867,5.892,3.375,2.329,1.26,0.847,0.549,0.35,5.333,1.903,5.204,2.717,4.279,1.768,0.126,3.104,0.0,0.0,0.074,0.014,1.336
Nc1ncnc2N(C(CO)OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)(CO))cnc12,23.449,14.267,0.446,14.937,9.4,8.778,5.336,4.137,2.618,1.813,1.057,0.664,4.99,0.854,5.24,0.0,0.0,0.096,0.068,0.25,17.863,12.373,9.968,7.049,5.164,2.825,1.81,0.854,0.491,0.292,0.152,5.587,1.894,4.969,2.351,3.614,1.639,0.126,2.678,0.0,0.0,0.029,0.014,1.039
O=c1ccN(C(CO)OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)(CO))c(=O)N1,22.458,13.178,0.454,14.019,8.037,7.427,4.122,3.062,1.584,0.976,0.615,0.323,5.006,0.854,4.688,0.0,0.0,0.0,0.068,0.318,16.76,11.669,9.402,6.513,4.738,2.55,1.609,0.712,0.409,0.252,0.127,5.697,1.508,4.617,1.524,2.689,1.573,0.126,2.452,0.0,0.0,0.0,0.019,0.879
CC1=CN(C(=O)NC1=O)(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3),22.198,13.085,0.436,14.817,8.938,8.142,4.881,3.83,2.284,1.558,1.07,0.651,5.387,0.854,5.808,0.0,0.0,0.096,0.056,0.421,17.106,12.045,10.218,7.281,5.337,3.068,2.085,1.074,0.707,0.467,0.3,5.092,1.04,4.6,1.657,2.805,1.793,0.126,2.91,0.0,0.0,0.056,0.016,1.116
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(F)3)c(=O)N1,22.198,13.102,0.437,14.719,9.029,8.327,4.849,3.892,2.313,1.571,1.068,0.629,5.323,0.854,5.799,0.0,0.0,0.079,0.068,0.476,16.432,11.697,9.824,7.04,5.194,2.915,1.989,1.0,0.653,0.434,0.269,5.767,1.405,4.894,1.989,3.133,1.697,0.126,2.784,0.0,0.0,0.045,0.019,1.087
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(F)3)c(=O)n1,22.198,13.102,0.437,14.719,9.029,8.327,4.849,3.892,2.313,1.571,1.068,0.629,5.323,0.854,5.799,0.0,0.0,0.079,0.068,0.476,16.548,11.729,9.849,7.04,5.186,2.909,1.99,0.997,0.651,0.432,0.267,5.65,1.373,4.869,1.989,3.141,1.707,0.126,2.789,0.0,0.0,0.045,0.017,1.082
